study_ID,title,topic,topic2,year,authors,phenotype,Notes,Mean,Min mean,Max mean,Among_SD,Within nest,test,difference,Lat,Long,Major.group,Group,Group3,Group2,Back,Water,Genus,Species,Animal,Name,Order,family
37,Reconstructing an adaptationist scenario: What selective forces favor the evolution of viviparity in Montane reptiles?,Viviparity,Evolution,2002,"Shine, R ",n,seems like this is a paper summarising all the field work 1999-2001 that was already presented in the above papers,14.15,13.6,14.7,,,,,-35.53333,148.7666,Reptile,5. Other Reptile,2. Lizard,Lizard/snake,Vertebrate,Land,Bassiana,duperreyi,Bassiana_duperreyi,,,
40,"Sunny side up: lethally high, not low, nest temperatures may prevent oviparous reptiles from reproducing at high elevations",Viviparity,Evolution,2003,"Shine, R and Elphick, MJ and Barrott, EG ",y,Mount Ginini,19.8,,,,,,,-35.533333,148.766667,Reptile,5. Other Reptile,2. Lizard,Lizard/snake,Vertebrate,Land,bassiana,duperreyi,Bassiana_duperreyi,,,
40,"Sunny side up: lethally high, not low, nest temperatures may prevent oviparous reptiles from reproducing at high elevations",Viviparity,Evolution,2003,"Shine, R and Elphick, MJ and Barrott, EG ",y,Picadilly Circus,19.7,,,,,,,-35.35,148.833333,Reptile,5. Other Reptile,2. Lizard,Lizard/snake,Vertebrate,Land,bassiana,duperreyi,Bassiana_duperreyi,,,
40,"Sunny side up: lethally high, not low, nest temperatures may prevent oviparous reptiles from reproducing at high elevations",Viviparity,Evolution,2003,"Shine, R and Elphick, MJ and Barrott, EG ",y,Coree Flats,19.4,,,,,,,-35.283333,148.8,Reptile,5. Other Reptile,2. Lizard,Lizard/snake,Vertebrate,Land,bassiana,duperreyi,Bassiana_duperreyi,,,
41,"Seasonal shifts in nest temperature can modify the phenotypes of hatchling lizards, regardless of overall mean incubation temperature",Offspring phenotype,Evolution,2004,"Shine, R ",n,Lab study accompanied,19.3,,,,,,,-35.417085,148.783591,Reptile,5. Other Reptile,2. Lizard,Lizard/snake,Vertebrate,Land,bassiana,duperreyi,Bassiana_duperreyi,,,
39,Does viviparity evolve in cold climate reptiles because pregnant females maintain stable (not high) body temperatures?,Viviparity,Evolution,2004,"Shine, R and Shine, R",n,Monitored nests the entire incubation period but only used data 2 weeks after oviposition in the analysis.,17.3,,,,,,,-35.532736,148.795624,Reptile,5. Other Reptile,2. Lizard,Lizard/snake,Vertebrate,Land,bassiana,duperreyi,Bassiana_duperreyi,,,
44,"The nesting ecology of the Allen Cays rock iguana, Cyclura Cychlura Inornata in the Bahamas",Breeding ecology,General ecology,2004,"Iverson, JB and Hines, KN and Valiulis, JM ",y,,31.4,30.6,32.7,,,,,23.716627,-76.167611,Reptile,5. Other Reptile,2. Lizard,Lizard/snake,Vertebrate,Land,Cyclura Cychlura,Inornata,Cychlura_Inornata,,,
259,"Reproductive ecology of the mountain dragon, Rankinia (Tympanocryptis) diemensis (Reptilia: Squamata: Agamidae) in Tasmania",Breeding ecology,General ecology,2005,"Stuart-Smith, J., Swain, R., and Welling, A.",,,19.1,,,1.81,,,,-42.983988,147.542127,Reptile,5. Other Reptile,2. Lizard,Lizard/snake,Vertebrate,Land,Rankinia,diemensis,Rankinia_diemensis,,,
49,Nest site choice compensates for climate effects on sex ratios in a lizard with environmental sex determination,Nest site selection,Evolution,2006,"Doody, JS and Guarino, E and Georges, A and Corey, B and Murray, G and Ewert, M ",n,Sydney,25.2,,,0.62,,,,-33.9,151.2,Reptile,5. Other Reptile,2. Lizard,Lizard/snake,Vertebrate,Land,Intellagama,lesueurii,Intellagama_lesueurii,,,
49,Nest site choice compensates for climate effects on sex ratios in a lizard with environmental sex determination,Nest site selection,Evolution,2006,"Doody, JS and Guarino, E and Georges, A and Corey, B and Murray, G and Ewert, M ",n,Brisbane,26,,,1,,,,-27.5,152.75,Reptile,5. Other Reptile,2. Lizard,Lizard/snake,Vertebrate,Land,Intellagama,lesueurii,Intellagama_lesueurii,,,
49,Nest site choice compensates for climate effects on sex ratios in a lizard with environmental sex determination,Nest site selection,Evolution,2006,"Doody, JS and Guarino, E and Georges, A and Corey, B and Murray, G and Ewert, M ",n,Highlands,23.7,,,1.08,,,,-35.8,149.72,Reptile,5. Other Reptile,2. Lizard,Lizard/snake,Vertebrate,Land,Intellagama,lesueurii,Intellagama_lesueurii,,,
49,Nest site choice compensates for climate effects on sex ratios in a lizard with environmental sex determination,Nest site selection,Evolution,2006,"Doody, JS and Guarino, E and Georges, A and Corey, B and Murray, G and Ewert, M ",n,Canberra,28,,,1.08,,,,-35.3,150.28,Reptile,5. Other Reptile,2. Lizard,Lizard/snake,Vertebrate,Land,Intellagama,lesueurii,Intellagama_lesueurii,,,
