Lat,emmean,lower.HPD,upper.HPD,Major.group
-10.49,27.89722839,22.29370191,33.21894892,Amphibian
-10.24,27.95714453,22.32474161,33.27989792,Amphibian
-9.99,28.01372482,22.44720194,33.4308197,Amphibian
-9.74,28.07231452,22.45969375,33.4701867,Amphibian
-9.49,28.12890309,22.49945868,33.53482486,Amphibian
-9.24,28.18747575,22.51305587,33.59946303,Amphibian
-8.99,28.24442817,22.54709258,33.67650817,Amphibian
-8.74,28.29801533,22.57784378,33.72873935,Amphibian
-8.49,28.35532046,22.64107761,33.83515227,Amphibian
-8.24,28.41719763,22.66401271,33.91447432,Amphibian
-7.99,28.47374749,22.68694781,33.99783176,Amphibian
-7.74,28.52828949,22.70988291,34.08887455,Amphibian
-7.49,28.58258417,22.73281802,34.17991735,Amphibian
-7.24,28.64546543,22.89332701,34.3656977,Amphibian
-6.99,28.6987207,22.91788133,34.43463724,Amphibian
-6.74,28.7496214,23.05048862,34.57159091,Amphibian
-6.49,28.80687032,23.09852119,34.65981177,Amphibian
-6.24,28.86838142,23.16235441,34.77592831,Amphibian
-5.99,28.93402892,23.18652275,34.84798346,Amphibian
-5.74,28.99465664,23.11907633,34.82281082,Amphibian
-5.49,29.04899421,23.2002893,34.91764976,Amphibian
-5.24,29.10591707,23.34372631,35.1214397,Amphibian
-4.99,29.16481874,23.37382723,35.18913689,Amphibian
-4.74,29.22145454,23.40392815,35.22534303,Amphibian
-4.49,29.27529412,23.43402906,35.31195331,Amphibian
-4.24,29.32456033,23.52066273,35.45379945,Amphibian
-3.99,29.37443403,23.56318073,35.54202031,Amphibian
-3.74,29.43910521,23.60569873,35.63024116,Amphibian
-3.49,29.49836274,23.64821673,35.71846201,Amphibian
-3.24,29.54599975,23.68081313,35.80694384,Amphibian
-2.99,29.6004126,23.63593374,35.81868764,Amphibian
-2.74,29.65551042,23.67949818,35.91259473,Amphibian
-2.49,29.71418336,23.72306262,36.00660891,Amphibian
-2.24,29.76877164,23.76662707,36.1006231,Amphibian
-1.99,29.82464128,23.79768146,36.19463729,Amphibian
-1.74,29.87987024,23.81407125,36.28865148,Amphibian
-1.49,29.94239884,23.89240425,36.4055159,Amphibian
-1.24,29.99989577,23.9150979,36.47667985,Amphibian
-0.99,30.05167599,23.91685521,36.55544042,Amphibian
-0.74,30.10896893,23.9635914,36.66470823,Amphibian
-0.49,30.1721676,24.01331347,36.77711226,Amphibian
-0.24,30.23418685,24.06968349,36.87280619,Amphibian
0.01,30.2901178,24.09794378,36.9464963,Amphibian
0.26,30.22937611,24.06722607,36.86787302,Amphibian
0.51,30.16656692,24.01089528,36.77005459,Amphibian
0.76,30.10426341,23.96169784,36.6571871,Amphibian
1.01,30.04806446,23.92816569,36.56317291,Amphibian
1.26,29.99418909,23.91396157,36.46915872,Amphibian
1.51,29.93718677,23.88998607,36.40071877,Amphibian
1.76,29.87545193,23.81276007,36.28113034,Amphibian
2.01,29.82005007,23.79637028,36.18711615,Amphibian
2.26,29.76454629,23.76314191,36.09310197,Amphibian
2.51,29.70976504,23.71957747,35.99908778,Amphibian
2.76,29.65144637,23.67601302,35.90507359,Amphibian
3.01,29.59583243,23.63244858,35.81140421,Amphibian
3.26,29.54248646,23.67839495,35.7996252,Amphibian
3.51,29.49431804,23.64481529,35.71140434,Amphibian
3.76,29.43434002,23.60229729,35.62318349,Amphibian
4.01,29.37039789,23.55977929,35.53496264,Amphibian
4.26,29.32072672,23.51726129,35.44674178,Amphibian
4.51,29.27107163,23.43162099,35.30403346,Amphibian
4.76,29.216945,23.40152007,35.2211869,Amphibian
5.01,29.159705,23.37141916,35.18207922,Amphibian
5.26,29.10136324,23.2346171,35.00703914,Amphibian
5.51,29.04444038,23.19680414,34.91206001,Amphibian
5.76,28.99011009,23.11852819,34.81660004,Amphibian
6.01,28.9284538,23.18506388,34.84221905,Amphibian
6.26,28.86370049,23.15787977,34.77016389,Amphibian
6.51,28.80213121,23.09797305,34.6527541,Amphibian
6.76,28.74651042,23.04601399,34.56453325,Amphibian
7.01,28.6946586,22.91591698,34.42842646,Amphibian
7.26,28.64076154,22.89136267,34.36205499,Amphibian
7.51,28.57746781,22.73098321,34.17263392,Amphibian
7.76,28.52489853,22.70804811,34.08159113,Amphibian
8.01,28.46888311,22.68511301,33.99054834,Amphibian
8.26,28.41298762,22.66217791,33.90812856,Amphibian
8.51,28.34945298,22.6392428,33.82880651,Amphibian
8.76,28.29410449,22.57575351,33.7235683,Amphibian
9.01,28.23916994,22.50806666,33.63456985,Amphibian
9.26,28.18278994,22.51348972,33.59429197,Amphibian
9.51,28.12421728,22.49736841,33.52965381,Amphibian
9.76,28.06774143,22.45620859,33.46501565,Amphibian
10.01,28.00906497,22.44370978,33.42860449,Amphibian
10.26,27.95250865,22.32225843,33.27355216,Amphibian
10.51,27.89256854,22.29121873,33.21544388,Amphibian
10.76,27.82998156,22.26017903,33.15299959,Amphibian
11.01,27.77704221,22.21015847,33.06477873,Amphibian
11.26,27.71625929,22.15820062,32.99050324,Amphibian
11.51,27.65034837,22.10379058,32.88833702,Amphibian
11.76,27.5866918,22.05428491,32.80011617,Amphibian
12.01,27.52899886,22.05686408,32.72224737,Amphibian
12.26,27.47095865,22.00850837,32.67697177,Amphibian
12.51,27.40445242,21.96015266,32.61964822,Amphibian
12.76,27.34546654,21.90245181,32.51833622,Amphibian
13.01,27.28465001,21.8256499,32.41702421,Amphibian
13.26,27.22399504,21.78111508,32.33352805,Amphibian
13.51,27.16813618,21.72555529,32.25988507,Amphibian
13.76,27.11018313,21.70171491,32.21832969,Amphibian
14.01,27.05184717,21.58666421,32.08372141,Amphibian
