data_ID,study_ID,title,year,authors,R2,r,Order,Genus,Species,animal,N,Mean,Min,Max,SD,Long,Lat,Notes
19,37,Nest temperatures and sex-ratio estimates of loggerhead turtles at        Patara beach on the southwestern coast of Turkey,2004,"Oz, M and Erdogan, A and Kaska, Y and Dusen, S and Aslan, A and Sert, H and Yavuz, M and Tunc, MR and Oz, M and Erdogan, A and Kaska, Y and Dusen, S and Aslan, A and Sert, H and Yavuz, M and Tunc, MR",r2 = -0.98,-0.989949494,Testudines,caretta,caretta,Caretta_caretta,4,29.9,28.8,30.7,0.78,36.27261,29.287845,
20,38,"The effect of the predicted air temperature change on incubation        temperature, incubation duration, sex ratio and hatching success of        loggerhead turtles",2011,"Ozdemir, A and Ilgaz, C and Durmus, SH and Guclu, O and Ozdemir, Adem and Ilgaz, Cetin and Durmus, Salih Hakan and Guclu, Ozgur",R 2 = 0.38,0.6164414,Testudines,caretta,caretta,Caretta_caretta,19,28.99,,,1.2204917,36.800482,28.605463,
21,39,"Effect of nest temperature on hatchling phenotype of loggerhead turtles        (Caretta caretta) from two South Pacific rookeries, Mon Repos and La        Roche Percee",2012,"Read, T and Booth, DT and Limpus, CJ and Read, Tyffen and Booth, David T. and Limpus, Colin J.",Emailed: R2= -0.5284,-0.726911274,Testudines,caretta,caretta,Caretta_caretta,35,31.8,,,0.2,-21.613929,165.463682,emailed raw
22,40,Artificial and natural shade: Implications for green turtle (Chelonia        mydas) rookery management,2021,"Reboul, I and Booth, D and Rusli, U and Reboul, Isabella and Booth, David and Rusli, Uzair",r2 = -0.85,-0.921954446,Testudines,chelonia,mydas,Chelonia_mydas,29,32.5,31.6,33,0.2,5.812602,103.008604,
32,22,Incubation temperature in the wild influences hatchling phenotype of two        freshwater turtle species,2014,"Riley, JL and Freedberg, S and Litzgus, JD and Riley, Julia L. and Freedberg, Steven and Litzgus, Jacqueline D.",R2=0.3835,-0.619273768,Testudines,chrysemys ,picta,Chrysemys_picta,20,22.81,19.55,24.7,0.29,45.58333,-78.5,
33,22,Incubation temperature in the wild influences hatchling phenotype of two        freshwater turtle species,2014,"Riley, JL and Freedberg, S and Litzgus, JD and Riley, Julia L. and Freedberg, Steven and Litzgus, Jacqueline D.",R2=0.801,-0.894986033,Testudines,chelydra,serpentina,Chelydra_serpentina,47,23.21,20.83,24.94,0.16,45.58333,-78.5,
24,22,Incubation temperature in the wild influences hatchling phenotype of two        freshwater turtle species,2014,"Riley, JL and Freedberg, S and Litzgus, JD and Riley, Julia L. and Freedberg, Steven and Litzgus, Jacqueline D.",R2=0.046,0.214476106,Testudines,chrysemys ,picta,Chrysemys_picta,20,22.81,19.55,24.7,0.29,45.58333,-78.5,Julia sent spreadsheets
25,22,Incubation temperature in the wild influences hatchling phenotype of two        freshwater turtle species,2014,"Riley, JL and Freedberg, S and Litzgus, JD and Riley, Julia L. and Freedberg, Steven and Litzgus, Jacqueline D.",R2=0.018,0.134164079,Testudines,chelydra,serpentina,Chelydra_serpentina,47,23.21,20.83,24.94,0.16,45.58333,-78.5,Julia sent spreadsheets
9,9,"Sunny side up: lethally high, not low, nest temperatures may prevent        oviparous reptiles from reproducing at high elevations",2003,"Shine, R and Elphick, MJ and Barrott, EG and Shine, R and Elphick, MJ and Barrott, EG"," r = 0.30, positive",0.3,Squamata,bassiana,duperreyi,Bassiana_duperreyi,73,19.7,,,,-35.35,148.833333,
23,41,The influence of natural incubation environments on the phenotypic        traits of hatchling lizards,1997,"Shine, R and Elphick, MJ and Harlow, PS and Shine, R and Elphick, MJ and Harlow, PS",,-0.74,Squamata,bassiana,duperreyi,Bassiana_duperreyi,19,,16.8,20.1,,-35.53333,148.7666,"Half of the clutch was moved to another nest - so half eggs were from another mother/nest, eggs were also put in a stocking. All eggs were then removed and taken to the lab around the time they thought they should be hatching."
